Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
EXCLUDE_comicicon7/0,"Miquella,Joke_happy,-31,-480,14,0,7,1,1,0","Miquella,Neck,-13,-451,15,0,11,1,1,0","Miquella,Body,-10,-342,3,0,12,1,1,0","Miquella,Arm Up,-77,-374,328,0,8,1,1,0","Miquella,Arm Low,-140,-325,298,0,7,1,0.9,0","Miquella,Open,-208,-299,282,1,6,1,1,0","Miquella,Arm Up,45,-392,38,1,15,1,1,0","Miquella,Arm Low,113,-346,63,1,14,1,0.9,0","Miquella,Open,180,-322,79,0,13,1,1,0","Miquella,Leg Up,3,-173,0,0,13,1,1,0",,"Miquella,Foot,-52,-75,-2.6,1,17,1,1,0",,,"Miquella,Foot_2,59,-74,9.5,0,19,1,1,0",,,"Miquella,Rope,10,-224,0,0,10,1,1,0","Miquella,Hair_back,-38,-266,-5,0,26,1,1,0","Miquella,Hair_outer,-90,-290,7,0,25,1,1,0","Miquella,Hair_inner,17,-288,-16,0,26,1,1,0","Item,Mic,183,-331,343,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic7_6/0,"Miquella,Joke_suspicious,42,-409,342,1,7,1,1,0","Miquella,Neck,31,-402,344,1,10,1,1,0","Miquella,Body,7,-294,352,0,12,1,1,0","Miquella,Arm Up,-19,-328,17,0,8,1,1,0","Miquella,Arm Low,29,-257,43,0,7,1,1,0","Miquella,Open2,87,-211,54,0,6,1,1,0","Miquella,Arm Up,56,-323,1,1,15,1,1,0","Miquella,Arm Low,64,-230,4,1,14,1,1,0","Miquella,Fist,66,-165,356,1,14,1,1,0","Miquella,Leg Up,2,-124,358,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,19,-172,357,0,10,1,1,0","Miquella,Hair_back,23,-187,3,0,26,1,1,0","Miquella,Hair_outer,78,-256,350,1,25,1,1,0","Miquella,Hair_inner,-17,-298,358,1,26,1,1,0","Item,Mic,104,-210,290,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic7_8/0,"Miquella,Joke_talk3,-10,-416,10,0,7,1,1,0","Miquella,Neck,13,-402,344,1,10,1,1,0","Miquella,Body,-3,-293,360,0,12,1,1,0","Miquella,Arm Up,-66,-325,332,0,8,1,1,0","Miquella,Arm Low,-29,-305,90,0,7,1,1,0","Miquella,Open2,46,-311,94,0,6,1,1,0","Miquella,Arm Up,50,-338,25,1,15,1,1,0","Miquella,Arm Low,106,-269,44,1,14,1,1,0","Miquella,Open,162,-219,53,0,14,1,1,0","Miquella,Leg Up,2,-124,358,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,20,-175,5,0,10,1,1,0","Miquella,Hair_back,-8,-196,3,0,26,1,1,0","Miquella,Hair_outer,-63,-278,2,0,25,1,1,0","Miquella,Hair_inner,43,-292,360,0,26,1,1,0","Item,Mic,44,-321,13,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic7_9/0,"Miquella,Joke_sad,26,-425,349,0,7,1,1,0","Miquella,Neck,31,-402,344,1,10,1,1,0","Miquella,Body,4,-294,353,0,12,1,1,0","Miquella,Arm Up,-48,-329,332,0,8,1,1,0","Miquella,Arm Low,-72,-250,349,0,7,1,1,0","Miquella,Open2,-78,-176,360,0,6,1,1,0","Miquella,Arm Up,56,-323,1,1,15,1,1,0","Miquella,Arm Low,60,-232,0,1,14,1,1,0","Miquella,Fist,57,-165,357,1,14,1,1,0","Miquella,Leg Up,2,-124,358,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,19,-174,1,0,10,1,1,0","Miquella,Hair_back,-23,-199,352,0,26,1,1,0","Miquella,Hair_outer,-56,-280,358,0,25,1,1,0","Miquella,Hair_inner,35,-276,344,0,26,1,1,0","Item,Mic,-66,-165,241,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic7_7/0,"Miquella,Joke_suspicious,25,-430,349,0,7,1,1,0","Miquella,Neck,31,-402,344,1,10,1,1,0","Miquella,Body,7,-294,351,0,12,1,1,0","Miquella,Arm Up,-19,-326,19,0,8,1,1,0","Miquella,Arm Low,39,-289,75,0,7,1,1.1,0","Miquella,Open2,107,-257,43,0,6,1,1,0","Miquella,Arm Up,56,-323,1,1,15,1,1,0","Miquella,Arm Low,64,-230,4,1,14,1,1,0","Miquella,Fist,66,-165,356,1,14,1,1,0","Miquella,Leg Up,2,-124,358,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,19,-172,357,0,10,1,1,0","Miquella,Hair_back,-15,-199,354,0,26,1,1,0","Miquella,Hair_outer,-57,-284,357,0,25,1,1,0","Miquella,Hair_inner,43,-268,350,0,26,1,1,0","Item,Mic,124,-257,288,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERLAY_Idle/0,"Miquella,Joke_happy_talk,-7,-436,9,0,7,1,1,0","Miquella,Neck,15,-407,-9,1,10,1,1,0","Miquella,Body,2,-294,-1,0,12,1,1,0","Miquella,Arm Up,-54,-323,342,0,8,1,1,0","Miquella,Arm Low,-15,-312,104,0,7,1,1,0","Miquella,Open2,53,-338,114,0,6,1,1,0","Miquella,Arm Up,56,-323,1,1,15,1,1,0","Miquella,Arm Low,96,-242,34,1,14,1,1,0","Miquella,Fist,140,-187,52,1,13,1,1,0","Miquella,Leg Up,8,-122,-1,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,23,-176,3,0,10,1,1,0","Miquella,Hair_back,-17,-237,3,0,26,1,1,0","Miquella,Hair_outer,-87,-250,360,0,25,1,1,0","Miquella,Hair_inner,52,-248,350,0,26,1,1,0","Item,Mic,61,-345,23,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
OVERLAY_Idle/1,"Miquella,Joke_happy_talk,-12,-437,13,0,7,1,1,0","Miquella,Neck,15,-407,-9,1,10,1,1,0","Miquella,Body,2,-294,0,0,12,1,1,0","Miquella,Arm Up,-53,-323,343,0,8,1,1,0","Miquella,Arm Low,-14,-315,107,0,7,1,1,0","Miquella,Open2,55,-348,119,0,6,1,1,0","Miquella,Arm Up,56,-323,1,1,15,1,1,0","Miquella,Arm Low,94,-242,30,1,14,1,1,0","Miquella,Fist,134,-183,47,1,13,1,1,0","Miquella,Leg Up,8,-122,-1,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,23,-176,2,0,10,1,1,0","Miquella,Hair_back,-10,-230,5,0,26,1,1,0","Miquella,Hair_outer,-78,-245,4,0,25,1,1,0","Miquella,Hair_inner,57,-253,353,0,26,1,1,0","Item,Mic,61,-355,30,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERLAY_Idle/2,"Miquella,Joke_happy_talk,-10,-437,11,0,7,1,1,0","Miquella,Neck,15,-407,-9,1,10,1,1,0","Miquella,Body,2,-294,0,0,12,1,1,0","Miquella,Arm Up,-53,-323,343,0,8,1,1,0","Miquella,Arm Low,-14,-315,107,0,7,1,1,0","Miquella,Open2,55,-346,116,0,6,1,1,0","Miquella,Arm Up,56,-323,1,1,15,1,1,0","Miquella,Arm Low,94,-242,30,1,14,1,1,0","Miquella,Fist,132,-183,44,1,13,1,1,0","Miquella,Leg Up,8,-122,358,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,23,-175,1,0,10,1,1,0","Miquella,Hair_back,-7,-230,6,0,26,1,1,0","Miquella,Hair_outer,-74,-245,6,0,25,1,1,0","Miquella,Hair_inner,60,-255,354,0,26,1,1,0","Item,Mic,61,-355,28,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERLAY_Idle/3,"Miquella,Joke_happy,-6,-434,8,0,7,1,1,0","Miquella,Neck,15,-407,-9,1,10,1,1,0","Miquella,Body,2,-294,0,0,12,1,1,0","Miquella,Arm Up,-53,-323,343,0,8,1,1,0","Miquella,Arm Low,-14,-313,105,0,7,1,1,0","Miquella,Open2,57,-342,113,0,6,1,1,0","Miquella,Arm Up,62,-316,11,1,15,1,1,0","Miquella,Arm Low,93,-237,24,1,14,1,1,0","Miquella,Fist,127,-179,45,1,13,1,1,0","Miquella,Leg Up,8,-122,358,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,23,-175,1,0,10,1,1,0","Miquella,Hair_back,-7,-232,6,0,26,1,1,0","Miquella,Hair_outer,-77,-245,5,0,25,1,1,0","Miquella,Hair_inner,62,-251,354,0,26,1,1,0","Item,Mic,63,-349,26,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERLAY_Idle/4,"Miquella,Joke_happy,-2,-437,6,0,7,1,1,0","Miquella,Neck,15,-407,-9,1,10,1,1,0","Miquella,Body,2,-294,0,0,12,1,1,0","Miquella,Arm Up,-54,-324,341,0,8,1,1,0","Miquella,Arm Low,-14,-308,97,0,7,1,1,0","Miquella,Open2,59,-326,108,0,6,1,1,0","Miquella,Arm Up,62,-316,11,1,15,1,1,0","Miquella,Arm Low,91,-234,22,1,14,1,1,0","Miquella,Fist,121,-174,40,1,13,1,1,0","Miquella,Leg Up,8,-122,358,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,23,-175,1,0,10,1,1,0","Miquella,Hair_back,-12,-226,6,0,26,1,1,0","Miquella,Hair_outer,-86,-253,0,0,25,1,1,0","Miquella,Hair_inner,57,-251,351,0,26,1,1,0","Item,Mic,63,-330,24,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
OVERLAY_Idle/5,"Miquella,Joke_happy,1,-440,3,0,7,1,1,0","Miquella,Neck,15,-407,-9,1,10,1,1,0","Miquella,Body,2,-294,0,0,12,1,1,0","Miquella,Arm Up,-54,-324,341,0,8,1,1,0","Miquella,Arm Low,-15,-309,100,0,7,1,1,0","Miquella,Open2,59,-331,108,0,6,1,1,0","Miquella,Arm Up,62,-316,11,1,15,1,1,0","Miquella,Arm Low,94,-234,25,1,14,1,1,0","Miquella,Fist,126,-175,38,1,13,1,1,0","Miquella,Leg Up,8,-122,358,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,23,-175,1,0,10,1,1,0","Miquella,Hair_back,-12,-226,6,0,26,1,1,0","Miquella,Hair_outer,-86,-255,0,0,25,1,1,0","Miquella,Hair_inner,55,-252,350,0,26,1,1,0","Item,Mic,62,-336,24,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic8_2/0,"Miquella,Talk,12,-440,353,0,7,1,1,0","Miquella,Neck,15,-407,-9,1,10,1,1,0","Miquella,Body,1,-294,-1,0,12,1,1,0","Miquella,Arm Up,-50,-322,-9,0,8,1,1,0","Miquella,Arm Low,-14,-273,59,0,7,1,1,0","Miquella,Open_ring,52,-232,53,0,6,1,1,0","Miquella,Arm Up,59,-333,20,1,15,1,1,0","Miquella,Arm Low,82,-250,10,1,14,1,1,0","Miquella,Fist,84,-182,1,1,13,1,1,0","Miquella,Leg Up,8,-122,-1,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,23,-176,3,0,10,1,1,0","Miquella,Hair_back,-26,-231,354,0,26,1,1,0","Miquella,Hair_outer,-78,-283,356,0,25,1,1,0","Miquella,Hair_inner,34,-252,340,0,26,1,1,0","Item,Crab,67,-240,330,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic8_3/0,"Miquella,Surprise,8,-439,354,0,7,1,1,0","Miquella,Neck,15,-407,-9,1,10,1,1,0","Miquella,Body,1,-294,-1,0,12,1,1,0","Miquella,Arm Up,-63,-325,332,0,8,1,1,0","Miquella,Arm Low,-110,-326,241,0,7,1,1,0","Miquella,Open_ring,-178,-361,249,1,6,1,1,0","Miquella,Arm Up,59,-333,20,1,15,1,1,0","Miquella,Arm Low,82,-250,10,1,14,1,1,0","Miquella,Fist,84,-182,1,1,13,1,1,0","Miquella,Leg Up,8,-122,-1,0,14,1,1,0",,"Miquella,Foot,-40,-14,-7.6,1,17,1,1,0",,,"Miquella,Foot_2,54,-13,21.5,0,19,1,1,0",,,"Miquella,Rope,23,-176,3,0,10,1,1,0","Miquella,Hair_back,-26,-231,354,0,26,1,1,0","Miquella,Hair_outer,-78,-283,356,0,25,1,1,0","Miquella,Hair_inner,34,-252,340,0,26,1,1,0","Item,Crab,-179,-374,360,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic9_1/0,"Miquella,Happy,14,-436,9,0,7,1,1,0","Miquella,Neck,32,-407,349,1,10,1,1,0","Miquella,Body,5,-294,351,0,12,1,1,0","Miquella,Arm Up_high,14,-359,91,1,6,1,1.2,0","Miquella,Arm Low,102,-373,104,0,6,1,1,0","Miquella,Fist3_ring,169,-388,90,0,6,1,1,0","Miquella,Arm Up,58,-325,356,1,15,1,1,0","Miquella,Arm Low,81,-241,28,1,14,1,0.9,0","Miquella,Open,104,-173,15,1,13,1,1,0","Miquella,Leg Up,-16,-125,348,0,14,1,1,0",,"Miquella,Foot,-77,-24,322.4,0,17,1,1,0",,,"Miquella,Foot_2,37,-7,15.5,0,19,1,1,0",,,"Miquella,Rope,-18,-186,313,0,10,1,1,0","Miquella,Hair_back,-62,-223,337,0,26,1,1,0","Miquella,Hair_outer,-105,-280,334,0,25,1,1,0","Miquella,Hair_inner,8,-254,323,0,26,1,1,0","Item,Racket,202,-443,333,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic9_5/0,"Miquella,Head_smile_talk,-2,-433,3,0,7,1,1,0","Miquella,Neck,2,-411,0,1,10,1,1,0","Miquella,Body,-5,-294,357,0,12,1,1,0","Miquella,Arm Up_high,-35,-314,20,0,8,1,1.2,0","Miquella,Arm Low,23,-261,67,0,7,1,0.9,0","Miquella,Fist3_ring,85,-243,76,0,6,1,1,0","Miquella,Arm Up,66,-328,32,1,15,1,1,0","Miquella,Arm Low,103,-259,30,1,14,1,0.9,0","Miquella,Open,138,-194,31,1,13,1,1,0","Miquella,Leg Up,-13,-125,351,0,14,1,1,0",,"Miquella,Foot,-77,-24,322.4,0,17,1,1,0",,,"Miquella,Foot_2,37,-7,15.5,0,19,1,1,0",,,"Miquella,Rope,19,-176,2,0,10,1,1,0","Miquella,Hair_back,-48,-205,351,0,26,1,1,0","Miquella,Hair_outer,-90,-270,352,0,25,1,1,0","Miquella,Hair_inner,-8,-244,327,0,26,1,1,0","Item,Racket,110,-291,344,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic9_7/0,"Miquella,Talk,19,-435,4,0,7,1,1,0","Miquella,Neck,32,-407,349,1,10,1,1,0","Miquella,Body,5,-294,351,0,12,1,1,0","Miquella,Arm Up,-24,-318,10,0,8,1,1.2,0","Miquella,Arm Low,7,-236,28,0,7,1,1,0","Miquella,Fist_ring,35,-175,6,0,6,1,1,0","Miquella,Arm Up,67,-322,12,1,15,1,1,0","Miquella,Arm Low,84,-240,10,1,14,1,0.9,0","Miquella,Open,94,-169,12,1,13,1,1,0","Miquella,Leg Up,-13,-125,351,0,14,1,1,0",,"Miquella,Foot,-77,-24,322.4,0,17,1,1,0",,,"Miquella,Foot_2,37,-7,15.5,0,19,1,1,0",,,"Miquella,Rope,19,-176,2,0,10,1,1,0","Miquella,Hair_back,-39,-205,352,0,26,1,1,0","Miquella,Hair_outer,-86,-270,348,0,25,1,1,0","Miquella,Hair_inner,23,-254,329,0,26,1,1,0","Item,Racket,102,-150,250,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic9_9/0,"Miquella,Laugh,-30,-433,20,0,7,1,1,0","Miquella,Neck,-9,-410,1,1,10,1,1,0","Miquella,Body,-14,-294,3,0,12,1,1,0","Miquella,Arm Up,-77,-314,341,0,8,1,1.2,0","Miquella,Arm Low,-92,-233,357,0,7,1,0.9,0","Miquella,Open,-90,-161,2,0,0,1,1,0","Miquella,Arm Up,46,-368,102,1,15,1,1,0","Miquella,Arm Low,115,-403,124,1,14,1,0.9,0","Miquella,Open,173,-442,133,1,13,1,1,0","Miquella,Leg Up,-4,-125,357,0,14,1,1,0",,"Miquella,Foot,-77,-24,322.4,0,17,1,1,0",,,"Miquella,Foot_2,37,-7,15.5,0,19,1,1,0","Godrick,Ah,185,-459,47,0,0,1.2,1.1,0",,"Miquella,Rope,19,-176,2,0,10,1,1,0","Miquella,Hair_back,-50,-205,350,0,26,1,1,0","Miquella,Hair_outer,-95,-270,351,0,25,1,1,0","Miquella,Hair_inner,12,-252,341,0,26,1,1,0","Item,Racket,-25,-138,254,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic9_11/0,"Miquella,Wink,-20,-435,8,0,7,1,1,0","Miquella,Neck,-9,-410,1,1,10,1,1,0","Miquella,Body,-13,-294,2,0,12,1,1,0","Miquella,Arm Up,-43,-314,26,0,8,1,1.2,0","Miquella,Arm Low,18,-262,65,0,7,1,0.9,0","Miquella,Open,87,-232,62,0,0,1,1,0","Miquella,Arm Up,44,-334,23,1,15,1,1,0","Miquella,Arm Low,93,-273,50,1,14,1,0.9,0","Miquella,Open,133,-240,43,0,13,1,1,0","Miquella,Leg Up,-4,-125,357,0,14,1,1,0",,"Miquella,Foot,-77,-24,322.4,0,17,1,1,0",,,"Miquella,Foot_2,37,-7,15.5,0,19,1,1,0","Godrick,Normal,120,-243,14,0,0,1.2,1.1,0",,"Miquella,Rope,19,-178,0,0,10,1,1,0","Miquella,Hair_back,-31,-195,358,0,26,1,1,0","Miquella,Hair_outer,-85,-268,360,0,25,1,1,0","Miquella,Hair_inner,28,-254,346,0,26,1,1,0","Item,Racket,-25,-138,254,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comicicon8/0,"Miquella,Head,-24,-477,13,0,7,1,1,0","Miquella,Neck,-13,-451,15,0,11,1,1,0","Miquella,Body,-10,-342,3,0,12,1,1,0","Miquella,Arm Up,-97,-385,294,0,8,1,1,0","Miquella,Arm Low,-174,-385,259,0,7,1,0.9,0","Miquella,Open,-243,-409,243,1,6,1,1,0","Miquella,Arm Up,65,-402,78,1,15,1,1,0","Miquella,Arm Low,136,-425,120,1,14,1,0.9,0","Miquella,Open,192,-468,137,0,13,1,1,0","Miquella,Leg Up,3,-173,0,0,13,1,1,0",,"Miquella,Foot,-52,-75,-2.6,1,17,1,1,0",,,"Miquella,Foot_2,59,-74,9.5,0,19,1,1,0",,,"Miquella,Rope,10,-224,0,0,10,1,1,0","Miquella,Hair_back,-18,-209,2,0,26,1,1,0","Miquella,Hair_outer,-76,-290,9,0,25,1,1,0","Miquella,Hair_inner,30,-340,355,0,26,1,1,0","Item,Crab,185,-479,30,0,0,1,1,0","Item,Crab,-233,-421,350,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
